Time,Open,High,Low,Close,Result
9/15/2024 22:30,1.1086,1.10873,1.10855,1.10868,
9/15/2024 23:00,1.10868,1.10878,1.10848,1.1087,
9/15/2024 23:30,1.1087,1.10894,1.1087,1.10873,
9/16/2024 0:00,1.10872,1.10914,1.1087,1.10908,
9/16/2024 0:30,1.10908,1.10923,1.10895,1.10895,
9/16/2024 1:00,1.10894,1.10922,1.10878,1.10918,
9/16/2024 1:30,1.10916,1.10924,1.10873,1.10877,
9/16/2024 2:00,1.10876,1.1089,1.10867,1.10879,
9/16/2024 2:30,1.1088,1.1091,1.10868,1.1089,
9/16/2024 3:00,1.1089,1.10977,1.1088,1.10969,
9/16/2024 3:30,1.1097,1.11049,1.1097,1.1104,0.0018799999999998818
9/16/2024 4:00,1.1104,1.11048,1.11001,1.11007,
9/16/2024 4:30,1.11006,1.11006,1.10969,1.10971,
9/16/2024 5:00,1.10971,1.10992,1.10962,1.10971,
9/16/2024 5:30,1.1097,1.10996,1.10956,1.10983,
9/16/2024 6:00,1.10982,1.11045,1.10975,1.11021,
9/16/2024 6:30,1.11024,1.11157,1.1102,1.11145,0.0009200000000000319
9/16/2024 7:00,1.11143,1.11143,1.11095,1.11104,
9/16/2024 7:30,1.11105,1.11197,1.11105,1.1115,0.0009900000000000464
9/16/2024 8:00,1.11149,1.11231,1.11138,1.11226,0.0007900000000000684
9/16/2024 8:30,1.11226,1.1126,1.11192,1.11228,0.000660000000000105
9/16/2024 9:00,1.11227,1.11291,1.11193,1.11279,-1.999999999990898e-05
9/16/2024 9:30,1.1128,1.11293,1.11181,1.11204,
9/16/2024 10:00,1.11204,1.11277,1.11203,1.11265,
9/16/2024 10:30,1.11265,1.11282,1.11201,1.11219,
9/16/2024 11:00,1.1122,1.11256,1.11159,1.11205,
9/16/2024 11:30,1.11205,1.11254,1.11201,1.11237,
9/16/2024 12:00,1.11238,1.113,1.11234,1.11294,-0.0007200000000000539
9/16/2024 12:30,1.11293,1.11327,1.11165,1.11249,
9/16/2024 13:00,1.11249,1.11313,1.11227,1.11305,-0.0007500000000000284
9/16/2024 13:30,1.11304,1.11374,1.11264,1.11294,
9/16/2024 14:00,1.11296,1.11298,1.11204,1.11277,
9/16/2024 14:30,1.11278,1.11305,1.1118,1.11238,
9/16/2024 15:00,1.11238,1.11242,1.11191,1.11229,
9/16/2024 15:30,1.11232,1.11239,1.11165,1.11225,
9/16/2024 16:00,1.11226,1.11266,1.11195,1.11242,
9/16/2024 16:30,1.11242,1.113,1.11237,1.1129,
9/16/2024 17:00,1.11288,1.113,1.11209,1.11222,-0.0006500000000000394
9/16/2024 17:30,1.11221,1.11239,1.1116,1.11233,
9/16/2024 18:00,1.11234,1.11243,1.112,1.1123,
9/16/2024 18:30,1.11232,1.11243,1.11197,1.11208,-0.0008300000000001084
9/16/2024 19:00,1.11207,1.1123,1.11186,1.11216,
9/16/2024 19:30,1.11217,1.11297,1.11212,1.11289,
9/16/2024 20:00,1.11288,1.11303,1.11279,1.11297,-0.0006099999999999994
9/16/2024 20:30,1.11297,1.11332,1.11294,1.11325,-0.00046999999999997044
9/16/2024 21:00,1.1132,1.11324,1.11315,1.11316,
9/16/2024 21:30,1.11316,1.11324,1.11306,1.1131,
9/16/2024 22:00,1.1131,1.11321,1.11278,1.11287,
9/16/2024 22:30,1.11286,1.11289,1.11266,1.11272,
9/16/2024 23:00,1.11275,1.11284,1.11232,1.11267,
9/16/2024 23:30,1.11267,1.11299,1.11265,1.11291,
9/17/2024 0:00,1.11291,1.11311,1.11259,1.11272,
9/17/2024 0:30,1.11273,1.11292,1.11219,1.1123,-0.00035999999999991594
9/17/2024 1:00,1.11229,1.11256,1.11226,1.11236,
9/17/2024 1:30,1.11239,1.11294,1.11236,1.11278,
9/17/2024 2:00,1.11277,1.11292,1.11248,1.11287,
9/17/2024 2:30,1.11289,1.11296,1.11271,1.11271,
9/17/2024 3:00,1.1127,1.11283,1.11235,1.11264,
9/17/2024 3:30,1.11265,1.11267,1.11228,1.11239,
9/17/2024 4:00,1.1124,1.11243,1.11217,1.11231,
9/17/2024 4:30,1.1123,1.11246,1.11227,1.11244,
9/17/2024 5:00,1.11243,1.11257,1.1122,1.11256,
9/17/2024 5:30,1.11256,1.11288,1.1125,1.11266,
9/17/2024 6:00,1.11267,1.1131,1.11256,1.11299,0.00043999999999999595
9/17/2024 6:30,1.11299,1.11334,1.11208,1.11208,-1
9/17/2024 7:00,1.11208,1.11253,1.11156,1.11239,
9/17/2024 7:30,1.1124,1.11378,1.1124,1.11361,-0.0011499999999999844
9/17/2024 8:00,1.11361,1.11369,1.11329,1.11337,
9/17/2024 8:30,1.11339,1.11461,1.11337,1.11445,-1
9/17/2024 9:00,1.11445,1.11445,1.11369,1.11395,
9/17/2024 9:30,1.11396,1.11401,1.11346,1.1138,
9/17/2024 10:00,1.11381,1.11398,1.11339,1.11364,
9/17/2024 10:30,1.11363,1.11382,1.11318,1.11343,
9/17/2024 11:00,1.11342,1.11352,1.11302,1.11343,
9/17/2024 11:30,1.11343,1.11427,1.11339,1.11385,
9/17/2024 12:00,1.11384,1.11418,1.11317,1.11334,
9/17/2024 12:30,1.1134,1.11436,1.11177,1.11246,0.0008399999999999519
9/17/2024 13:00,1.11247,1.11277,1.11151,1.11194,0.00022999999999995246
9/17/2024 13:30,1.11192,1.11224,1.11117,1.11129,-0.0009400000000001629
9/17/2024 14:00,1.1113,1.11281,1.1113,1.11241,
9/17/2024 14:30,1.11241,1.11278,1.112,1.11245,
9/17/2024 15:00,1.11246,1.11262,1.11156,1.11196,
9/17/2024 15:30,1.11196,1.11226,1.11152,1.11173,
9/17/2024 16:00,1.11172,1.11207,1.1115,1.11176,
