Time;Open;High;Low;Close
2026/01/06 09:00;1.17282;1.17287;1.17262;1.17286
2026/01/06 09:01;1.17287;1.17287;1.17237;1.17251
2026/01/06 09:01;1.17252;1.17259;1.17233;1.17248
2026/01/06 09:02;1.17246;1.1726;1.17239;1.17241
2026/01/06 09:02;1.1724;1.17251;1.17211;1.17211
2026/01/06 09:03;1.1721;1.17232;1.1721;1.17216
2026/01/06 09:03;1.17218;1.17218;1.17201;1.17206
2026/01/06 09:04;1.17207;1.17212;1.17195;1.17199
2026/01/06 09:04;1.17199;1.17222;1.17199;1.17214
2026/01/06 09:05;1.17214;1.1722;1.1721;1.17213
2026/01/06 09:05;1.17215;1.17215;1.17201;1.17206
2026/01/06 09:06;1.17209;1.17211;1.17198;1.17199
2026/01/06 09:06;1.17196;1.17202;1.17182;1.17202
2026/01/06 09:07;1.17206;1.17207;1.17184;1.17184
2026/01/06 09:07;1.17183;1.17184;1.1717;1.17177
2026/01/06 09:08;1.17179;1.17182;1.17171;1.17171
2026/01/06 09:08;1.17171;1.17181;1.1716;1.17181
2026/01/06 09:09;1.17181;1.17187;1.17156;1.17157
2026/01/06 09:09;1.17158;1.17169;1.17153;1.17167
2026/01/06 09:10;1.17166;1.17166;1.17152;1.17161
2026/01/06 09:10;1.17161;1.17161;1.17131;1.17135
2026/01/06 09:11;1.17136;1.17155;1.17136;1.17155
2026/01/06 09:11;1.17156;1.17174;1.17146;1.17146
2026/01/06 09:12;1.17147;1.1715;1.17124;1.17135
2026/01/06 09:12;1.17134;1.17145;1.1712;1.1712
2026/01/06 09:13;1.17121;1.17126;1.17107;1.1711
2026/01/06 09:13;1.17111;1.17121;1.17108;1.17121
2026/01/06 09:14;1.17124;1.17126;1.17099;1.17099
2026/01/06 09:14;1.17101;1.17111;1.17095;1.17097
2026/01/06 09:15;1.17099;1.17116;1.17098;1.17116
2026/01/06 09:15;1.17114;1.17114;1.17095;1.17095
2026/01/06 09:16;1.17096;1.17117;1.17095;1.17115
2026/01/06 09:16;1.17115;1.17116;1.17102;1.17105
2026/01/06 09:17;1.17106;1.17111;1.17105;1.17105
2026/01/06 09:17;1.17105;1.17107;1.17091;1.17094
2026/01/06 09:18;1.17096;1.17096;1.17081;1.17082
2026/01/06 09:18;1.17081;1.17097;1.1708;1.17097
2026/01/06 09:19;1.17098;1.17098;1.17081;1.17082
2026/01/06 09:19;1.17084;1.17095;1.17084;1.17087
2026/01/06 09:20;1.17089;1.17102;1.17083;1.17102
2026/01/06 09:20;1.17103;1.17118;1.17102;1.17111
2026/01/06 09:21;1.17113;1.17133;1.17113;1.17121
2026/01/06 09:21;1.17122;1.17135;1.17119;1.17133
2026/01/06 09:22;1.17133;1.1714;1.17131;1.17135
2026/01/06 09:22;1.17134;1.17143;1.1713;1.17136
2026/01/06 09:23;1.17134;1.17155;1.1713;1.17155
2026/01/06 09:23;1.17155;1.17164;1.17147;1.17164
2026/01/06 09:24;1.17163;1.17169;1.17151;1.17158
2026/01/06 09:24;1.17159;1.17173;1.17155;1.17173
2026/01/06 09:25;1.17173;1.17181;1.17172;1.1718
2026/01/06 09:25;1.17178;1.17179;1.17157;1.17157
2026/01/06 09:26;1.17156;1.17158;1.17147;1.17151
2026/01/06 09:26;1.17149;1.17164;1.17148;1.17151
2026/01/06 09:27;1.17155;1.17164;1.17155;1.17155
2026/01/06 09:27;1.17155;1.17181;1.17152;1.17152
2026/01/06 09:28;1.1715;1.17155;1.17142;1.17153
2026/01/06 09:28;1.17152;1.17162;1.17152;1.17158
2026/01/06 09:29;1.17156;1.17169;1.17154;1.17162
2026/01/06 09:29;1.17163;1.17163;1.17143;1.17148
