Time;Open;High;Low;Close
2026/01/08 09:00;1.16709;1.1671;1.16693;1.16697
2026/01/08 09:00;1.16697;1.16706;1.16695;1.16702
2026/01/08 09:01;1.16703;1.16707;1.167;1.16705
2026/01/08 09:01;1.16703;1.16718;1.16703;1.16718
2026/01/08 09:02;1.16716;1.16746;1.16715;1.16735
2026/01/08 09:02;1.16735;1.16735;1.16724;1.16728
2026/01/08 09:03;1.16726;1.16732;1.1672;1.16724
2026/01/08 09:03;1.16727;1.16729;1.16717;1.16717
2026/01/08 09:04;1.16717;1.16725;1.16715;1.16725
2026/01/08 09:04;1.16724;1.16726;1.16719;1.16725
2026/01/08 09:05;1.16724;1.16731;1.16717;1.16717
2026/01/08 09:05;1.16715;1.16717;1.16712;1.16715
2026/01/08 09:06;1.16718;1.16721;1.16717;1.16717
2026/01/08 09:06;1.16716;1.16719;1.16702;1.16703
2026/01/08 09:07;1.16704;1.1671;1.16702;1.16702
2026/01/08 09:07;1.16704;1.16725;1.16702;1.16722
2026/01/08 09:08;1.16726;1.16735;1.16725;1.1673
2026/01/08 09:08;1.16733;1.16741;1.16725;1.1674
2026/01/08 09:09;1.1674;1.16742;1.16734;1.1674
2026/01/08 09:09;1.16741;1.16744;1.16739;1.1674
2026/01/08 09:10;1.16738;1.16744;1.16735;1.16744
2026/01/08 09:10;1.1674;1.16753;1.16737;1.16741
2026/01/08 09:11;1.16742;1.16742;1.16732;1.16734
2026/01/08 09:11;1.16736;1.16742;1.16726;1.16727
2026/01/08 09:12;1.16729;1.16731;1.16724;1.16729
2026/01/08 09:12;1.1673;1.16735;1.16723;1.16726
2026/01/08 09:13;1.16726;1.16729;1.1672;1.16725
2026/01/08 09:13;1.16726;1.16728;1.16723;1.16725
2026/01/08 09:14;1.16725;1.16733;1.16721;1.16723
2026/01/08 09:14;1.16723;1.16734;1.16723;1.16728
2026/01/08 09:15;1.16728;1.16743;1.16724;1.1674
2026/01/08 09:15;1.16738;1.16744;1.16731;1.16733
2026/01/08 09:16;1.16731;1.16738;1.16728;1.16735
