Time Open,Open Price,Time Close,Close Price,Pip PnL,Status,SL,TP
2024-09-23 15:30:00,1.11337,2024-09-23 16:00:00,1.11263,-7.399999999999629,partial,1.11037,1.11537
2024-09-23 16:00:00,1.11299,2024-09-23 16:30:00,1.11251,-4.799999999998139,partial,1.10999,1.11499
2024-09-23 16:30:00,1.11261,2024-09-23 17:00:00,1.11252,-0.9000000000014552,partial,1.1096100000000002,1.11461
2024-09-23 17:00:00,1.11251,2024-09-23 17:30:00,1.11206,-4.500000000000615,partial,1.1095100000000002,1.1145100000000001
2024-09-23 17:30:00,1.11252,2024-09-23 18:00:00,1.11224,-2.80000000000058,partial,1.10952,1.11452
2024-09-23 18:00:00,1.11205,2024-09-23 18:30:00,1.11167,-3.8000000000004697,partial,1.10905,1.11405
2024-09-23 18:30:00,1.11224,2024-09-23 19:00:00,1.11151,-7.299999999998974,partial,1.10924,1.11424
2024-09-23 19:00:00,1.11166,2024-09-23 19:30:00,1.11145,-2.100000000000435,partial,1.1086600000000002,1.11366
2024-09-23 19:30:00,1.1115,2024-09-23 20:00:00,1.11125,-2.4999999999986144,partial,1.1085,1.1135
2024-09-23 20:00:00,1.11146,2024-09-23 20:30:00,1.11109,-3.6999999999998145,partial,1.10846,1.11346
2024-09-23 20:30:00,1.11124,2024-09-23 21:00:00,1.1114,1.5999999999993797,partial,1.1082400000000001,1.11324
2024-09-23 21:00:00,1.11107,2024-09-23 21:30:00,1.11116,0.8999999999992347,partial,1.10807,1.11307
2024-09-23 21:30:00,1.1114,2024-09-23 22:00:00,1.1112,-1.9999999999997797,partial,1.1084,1.1134
2024-09-23 22:00:00,1.11116,2024-09-23 22:30:00,1.11109,-0.700000000000145,partial,1.10816,1.11316
2024-09-23 22:30:00,1.11119,2024-09-23 23:00:00,1.11085,-3.4000000000000696,partial,1.10819,1.11319
2024-09-23 23:00:00,1.11111,2024-09-23 23:30:00,1.11109,-0.20000000000131024,partial,1.1081100000000002,1.11311
2024-09-23 23:30:00,1.11086,2024-09-24 00:00:00,1.11077,-0.8999999999992347,partial,1.10786,1.11286
2024-09-24 00:00:00,1.1111,2024-09-24 00:30:00,1.11057,-5.299999999999194,partial,1.1081,1.1131
2024-09-24 00:30:00,1.11078,2024-09-24 01:00:00,1.11061,-1.7000000000000348,partial,1.1077800000000002,1.11278
2024-09-24 01:00:00,1.11056,2024-09-24 01:30:00,1.11073,1.7000000000000348,partial,1.10756,1.11256
2024-09-24 01:30:00,1.11062,2024-09-24 02:00:00,1.11046,-1.5999999999993797,partial,1.10762,1.11262
2024-09-24 02:00:00,1.11074,2024-09-24 02:30:00,1.11055,-1.900000000001345,partial,1.1077400000000002,1.11274
2024-09-24 02:30:00,1.11045,2024-09-24 03:00:00,1.11118,7.300000000001194,partial,1.10745,1.11245
2024-09-24 03:00:00,1.11055,2024-09-24 03:30:00,1.11126,7.099999999999884,partial,1.10755,1.11255
2024-09-24 03:30:00,1.11119,2024-09-24 04:00:00,1.11141,2.20000000000109,partial,1.10819,1.11319
2024-09-24 04:00:00,1.11125,2024-09-24 04:30:00,1.11167,4.199999999998649,partial,1.1082500000000002,1.11325
2024-09-24 04:30:00,1.11142,2024-09-24 05:00:00,1.11189,4.699999999999704,partial,1.1084200000000002,1.11342
2024-09-24 05:00:00,1.11167,2024-09-24 05:30:00,1.11163,-0.40000000000040004,partial,1.10867,1.11367
2024-09-24 05:30:00,1.11189,2024-09-24 06:00:00,1.11051,-13.799999999999368,partial,1.1088900000000002,1.11389
2024-09-24 06:00:00,1.11162,2024-09-24 06:30:00,1.1115,-1.2000000000012,partial,1.1086200000000002,1.11362
2024-09-24 06:30:00,1.11051,2024-09-24 07:00:00,1.11224,17.299999999997873,partial,1.1075100000000002,1.11251
2024-09-24 07:00:00,1.11149,2024-09-24 07:30:00,1.11272,12.299999999998423,partial,1.1084900000000002,1.11349
2024-09-24 07:30:00,1.11223,2024-09-24 08:00:00,1.11374,15.099999999999003,partial,1.1092300000000002,1.11423
2024-09-24 08:00:00,1.11271,2024-09-24 08:30:00,1.11401,12.999999999998568,partial,1.1097100000000002,1.11471
2024-09-24 08:30:00,1.11375,2024-09-24 09:00:00,1.11419,4.3999999999999595,partial,1.1107500000000001,1.11575
2024-09-24 09:00:00,1.11401,2024-09-24 09:30:00,1.11355,-4.599999999999049,partial,1.11101,1.11601
2024-09-24 09:30:00,1.11418,2024-09-24 10:00:00,1.11338,-7.999999999999119,partial,1.11118,1.11618
2024-09-24 10:00:00,1.11356,2024-09-24 10:30:00,1.1128,-7.600000000000939,partial,1.1105600000000002,1.11556
2024-09-24 10:30:00,1.11338,2024-09-24 11:00:00,1.1125,-8.799999999999919,partial,1.1103800000000001,1.11538
2024-09-24 11:00:00,1.1128,2024-09-24 11:30:00,1.1129,0.9999999999998899,partial,1.1098000000000001,1.1148
2024-09-24 11:30:00,1.11251,2024-09-24 12:00:00,1.11346,9.499999999997844,partial,1.1095100000000002,1.1145100000000001
2024-09-24 12:00:00,1.11289,2024-09-24 12:30:00,1.11408,11.900000000000244,partial,1.10989,1.11489
2024-09-24 12:30:00,1.11345,2024-09-24 13:00:00,1.11409,6.399999999999739,partial,1.1104500000000002,1.11545
2024-09-24 13:00:00,1.11408,2024-09-24 13:30:00,1.11389,-1.8999999999991246,partial,1.11108,1.11608
2024-09-24 13:30:00,1.1141,2024-09-24 14:00:00,1.11606,19.599999999999618,partial,1.1111000000000002,1.1161
2024-09-24 14:00:00,1.11389,2024-09-24 14:30:00,1.11507,11.799999999999589,partial,1.1108900000000002,1.11589
